Key,Nitrification (nM/day),Denit from NO2- (nM/day),Denit from NO3- (nM/day),Hybrid2 (nM/day),Station,Feature,cost,f,weightNH4,weightNO2,weightNO3
PS1Interface,0.0,0.008131905,2.44323314,0.047288504,PS1,Interface,10.2575749,0.483551544,0.333333333,0.333333333,0.333333333
PS1Interface,0.0,0.008205027,9.020280283,0.013001191,PS1,Interface,13.10017039,0.0,0.333333333,0.333333333,0.333333333
PS1Interface,0.0,0.008131354,2.443610805,0.047291942,PS1,Interface,10.25757516,0.483483465,0.333333333,0.333333333,0.333333333
PS1SCM,0.000593338,0.001388276,0.243770352,0.040589706,PS1,SCM,4.831796716,0.394602479,0.1,0.1,0.8
PS1SCM,9.73e-07,0.001419772,0.244522004,0.040656496,PS1,SCM,4.821006475,0.395588235,0.1,0.1,0.8
PS1SCM,0.000119286,0.001420047,0.244570322,0.040643539,PS1,SCM,4.819510188,0.39555579,0.1,0.1,0.8
PS1Mid-oxycline,0.0,0.001575275,0.0,0.001435704,PS1,Mid-oxycline,1.832354414,0.303001987,0.333333333,0.333333333,0.333333333
PS1Mid-oxycline,0.0,0.001575341,0.0,0.00143553,PS1,Mid-oxycline,1.832354414,0.302967188,0.333333333,0.333333333,0.333333333
PS1Mid-oxycline,0.0,0.001575428,0.0,0.001435665,PS1,Mid-oxycline,1.832354416,0.302979046,0.333333333,0.333333333,0.333333333
PS1Top of oxycline,1.12e-05,0.0,0.0,0.0,PS1,Top of oxycline,0.414561985,0.654744536,0.333333333,0.333333333,0.333333333
PS1Top of oxycline,1.12e-05,0.0,0.0,0.0,PS1,Top of oxycline,0.414561985,0.518213364,0.333333333,0.333333333,0.333333333
PS1Top of oxycline,1.12e-05,0.0,0.0,0.0,PS1,Top of oxycline,0.414561985,0.635704631,0.333333333,0.333333333,0.333333333
PS1Surface,0.0,0.0,0.0,0.000429018,PS1,Surface,0.339983693,0.378371557,0.333333333,0.333333333,0.333333333
PS1Surface,0.0,0.0,0.0,0.000429009,PS1,Surface,0.339983694,0.378354457,0.333333333,0.333333333,0.333333333
PS1Surface,0.0,0.0,0.0,0.000429014,PS1,Surface,0.339983693,0.378369746,0.333333333,0.333333333,0.333333333
PS2Deep ODZ core,0.0,0.005545733,1.438976159,0.0,PS2,Deep ODZ core,2.898518054,0.616368398,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.005562916,1.43571919,2.68e-05,PS2,Deep ODZ core,2.90094303,1.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.005720443,1.406643834,0.001757168,PS2,Deep ODZ core,3.101328369,1.0,0.45,0.1,0.45
PS2Deep oxycline,0.0,0.0,0.0,0.0,PS2,Deep oxycline,6.008994811,0.741774466,0.333333333,0.333333333,0.333333333
PS2Deep oxycline,0.0,0.0,0.0,0.0,PS2,Deep oxycline,6.008994811,1.0,0.333333333,0.333333333,0.333333333
PS2Deep oxycline,0.0,0.0,0.0,0.0,PS2,Deep oxycline,6.008994811,0.713783129,0.333333333,0.333333333,0.333333333
PS2Base of ODZ,0.0,0.01293259,0.0,0.065955058,PS2,Base of ODZ,32.80861643,0.575378823,0.333333333,0.333333333,0.333333333
PS2Base of ODZ,0.0,0.012929131,0.0,0.06594694,PS2,Base of ODZ,32.80862003,0.575405204,0.333333333,0.333333333,0.333333333
PS2Base of ODZ,0.0,0.012926362,0.0,0.065956672,PS2,Base of ODZ,32.80861827,0.575415987,0.333333333,0.333333333,0.333333333
PS2Base of ODZ,0.0,0.0129319,0.0,0.06595174,PS2,Base of ODZ,32.80861619,0.575391588,0.333333333,0.333333333,0.333333333
PS2Base of ODZ,0.0,0.012930517,0.0,0.065962102,PS2,Base of ODZ,32.8086164,0.57541963,0.333333333,0.333333333,0.333333333
PS2Base of ODZ,0.0,0.012933615,0.0,0.065954435,PS2,Base of ODZ,32.80861618,0.575402854,0.333333333,0.333333333,0.333333333
PS2Interface,0.000131635,0.008993785,0.15397862,0.030983256,PS2,Interface,5.303358458,0.096461931,0.45,0.1,0.45
PS2Interface,0.000162068,0.008991011,0.081856291,0.031638948,PS2,Interface,5.359342721,0.11088453,0.45,0.1,0.45
PS2Interface,0.000189119,0.008991729,0.090861892,0.031840368,PS2,Interface,5.348142109,0.117044999,0.45,0.1,0.45
PS2PNM,0.000320951,0.0,0.090311354,0.000486423,PS2,PNM,3.483260728,0.631757545,0.333333333,0.333333333,0.333333333
PS2PNM,0.00032095,0.0,0.090249469,0.000488078,PS2,PNM,3.483261613,0.627156899,0.333333333,0.333333333,0.333333333
PS2PNM,0.000320949,0.0,0.090409426,0.00048699,PS2,PNM,3.483260821,0.632306635,0.333333333,0.333333333,0.333333333
PS2Top of oxycline,0.0,0.0,0.0,0.000224761,PS2,Top of oxycline,0.20750118,1.0,0.333333333,0.333333333,0.333333333
PS2Top of oxycline,7.07e-07,0.0,0.0,0.000217707,PS2,Top of oxycline,0.207468953,1.0,0.333333333,0.333333333,0.333333333
PS2Top of oxycline,2e-07,0.0,0.0,0.000229949,PS2,Top of oxycline,0.207517605,1.0,0.333333333,0.333333333,0.333333333
PS2SCM,0.0,0.042311813,2.461408372,0.042124244,PS2,SCM,6.260616723,0.303369647,0.45,0.1,0.45
PS2SCM,0.0,0.042312279,2.4613909,0.042133752,PS2,SCM,6.260616733,0.303352056,0.45,0.1,0.45
PS2SCM,0.0,0.042310833,2.46146428,0.042128704,PS2,SCM,6.260616722,0.303341136,0.45,0.1,0.45
PS2SNM,0.0,0.01654618,0.194148869,8.57e-13,PS2,SNM,1.463860766,0.576325595,0.45,0.1,0.45
PS2SNM,0.0,0.016546287,0.194150552,0.0,PS2,SNM,1.463860766,0.302525584,0.45,0.1,0.45
PS2SNM,0.000325757,0.016507363,0.193658706,8.4e-05,PS2,SNM,1.425813102,1.0,0.45,0.1,0.45
PS3Interface,0.0,0.0,0.070381001,0.0,PS3,Interface,8.309676505,0.00828841,0.45,0.1,0.45
PS3Interface,0.0,0.0,0.070503849,0.0,PS3,Interface,8.309677742,1.0,0.45,0.1,0.45
PS3Interface,0.0,0.0,0.070381448,0.0,PS3,Interface,8.309676505,0.043665716,0.45,0.1,0.45
PS3Mid-oxycline,0.000114785,0.000155617,0.009338966,0.000345211,PS3,Mid-oxycline,1.663273726,0.0,0.333333333,0.333333333,0.333333333
PS3Mid-oxycline,0.000115077,0.000157547,0.009353852,0.000345961,PS3,Mid-oxycline,1.663271806,0.000231658,0.333333333,0.333333333,0.333333333
PS3Mid-oxycline,0.000114201,0.000160008,0.009331977,0.000347641,PS3,Mid-oxycline,1.663298233,0.0,0.333333333,0.333333333,0.333333333
PS3Top of oxycline,0.00023648,5.16e-05,0.0,5.57e-05,PS3,Top of oxycline,0.503535745,1.0,0.333333333,0.333333333,0.333333333
